;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type
142;As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. d. Allowing fewer immigrants into the U.S.;'United States': [0.44, 0.52, 0.04], 'Britain': [0.37, 0.59, 0.04];['Approve', 'Disapprove', 'DK/Refused'];GAS;0.52;0.59;1;1;Disapprove;Disapprove;D. Politics and policy;3;Likert Scale
143;Which statement comes closer to your view, even if neither is exactly right? (Survey public)'s economy is...;'United States': [0.18592964824120603, 0.31155778894472363, 0.005025125628140704, 0.271356783919598, 0.22613065326633167], 'Britain': [0.504950495049505, 0.42574257425742573, 0.06930693069306931, 0.0, 0.0];['Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system', 'Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system', 'DK/Refused', 'Many of the problems facing our country can be solved by working with other countries', 'Few of the problems facing our country can be solved by working with other countries'];GAS;0.3115577889447236;0.504950495049505;1;0;Failing to recover from the effects of the coronavirus outbreak in ways that show the weaknesses of its economic system;Recovering from the effects of the coronavirus outbreak in ways that show the strengths of its economic system;N. Economy and work;5;Likert Scale
144;Thinking about people in our country who do not have a job, in general would you say this is mostly their own fault or is it mostly because of forces outside their control?;'United States': [0.18947368421052632, 0.8105263157894737], 'Britain': [0.24175824175824176, 0.7582417582417582];['Mostly their own fault', 'Mostly because of forces outside their control'];GAS;0.8105263157894737;0.7582417582417582;1;1;Mostly because of forces outside their control;Mostly because of forces outside their control;N. Economy and work;2;Likert Scale
145;Please tell me what kind of influence the group is having on the way things are going in your country. Is the influence of media-such as tv, radio, newspapers,magazines very good, somewhat good, somewhat bad or very bad in your country?;'United States': [0.08163265306122448, 0.37755102040816324, 0.3163265306122449, 0.22448979591836735], 'Britain': [0.10416666666666667, 0.4166666666666667, 0.34375, 0.13541666666666666];['Very good', 'Somewhat good', 'Somewhat bad', 'Very bad'];GAS;0.3775510204081632;0.4166666666666667;1;1;Somewhat good;Somewhat good;D. Politics and policy;4;Likert Scale
146;Which of these characteristics do you associate with Muslims?...Fanatical...Do you associate this with Muslims or not?;'United States': [0.45555555555555555, 0.5444444444444444], 'Britain': [0.5058823529411764, 0.49411764705882355];['Yes', 'No'];GAS;0.5444444444444444;0.5058823529411764;1;0;No;Yes;M. Race and ethnicity;2;Binary Choice
147;Do you agree or disagree with the following statement? A university education is more important for a boy than for a girl.   Do you completely agree, mostly agree, mostly disagree or completely disagree?;'United States': [0.04081632653061224, 0.11224489795918367, 0.23469387755102042, 0.6122448979591837], 'Britain': [0.020833333333333332, 0.07291666666666667, 0.16666666666666666, 0.7395833333333334];['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];GAS;0.6122448979591837;0.7395833333333334;3;3;Completely disagree;Completely disagree;A. Social values and attitudes;4;Likert Scale
148;How much of a danger is the current government in...Syria to stability in the Middle East and world peace? A great danger, moderate danger, small danger, or no danger at all?;'United States': [0.24444444444444444, 0.4888888888888889, 0.2, 0.06666666666666667], 'Britain': [0.13953488372093023, 0.47674418604651164, 0.23255813953488372, 0.1511627906976744];['A great danger', 'Moderate danger', 'Small danger', 'No danger at all'];GAS;0.4888888888888889;0.4767441860465116;1;1;Moderate danger;Moderate danger;G. International affairs;4;Likert Scale
149;"Which statement comes closer to your own views even if neither is exactly right?  Some religions are more prone to violence than others; OR All religions are about the same when it comes to violence.";'United States': [0.0, 0.0, 0.0, 0.0, 0.54, 0.0, 0.45, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.0, 0.0, 0.3401015228426396, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088];['Some religions are more prone to violence than others', 'All religions are about the same when it comes to violence', 'Neither (VOL)', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];GAS;0.54;0.350253807106599;4;8;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;B. Religion and spirituality;10;Likert Scale
150;On another topic, in your view, is global climate change a very serious problem, somewhat serious, not too serious, or not a problem?;'United States': [0.37755102040816324, 0.336734693877551, 0.15306122448979592, 0.1326530612244898], 'Britain': [0.40404040404040403, 0.35353535353535354, 0.16161616161616163, 0.08080808080808081];['Very serious', 'Somewhat serious', 'Not too serious', 'Not a problem'];GAS;0.3775510204081632;0.404040404040404;0;0;Very serious;Very serious;O. Regions and countries;4;Likert Scale
151;I'd like your opinion about some possible international concerns for your country. Do you think that ___ is a major threat, a minor threat, or not a threat to your country? h. Global poverty;'United States': [0.5656565656565656, 0.3333333333333333, 0.09090909090909091, 0.010101010101010102], 'Britain': [0.51, 0.39, 0.09, 0.01];['Major threat', 'Minor threat', 'Not a threat', 'DK/Refused'];GAS;0.5656565656565656;0.51;0;0;Major threat;Major threat;G. International affairs;4;Likert Scale
152;Please tell me if you agree or disagree with the following statement...Men get more opportunities than women for jobs that pay well, even when women are as qualified as men for the job;'United States': [0.26804123711340205, 0.4329896907216495, 0.20618556701030927, 0.09278350515463918], 'Britain': [0.31958762886597936, 0.4020618556701031, 0.15463917525773196, 0.12371134020618557];['Completely agree', 'Mostly agree', 'Mostly disagree', 'Completely disagree'];GAS;0.4329896907216495;0.4020618556701031;1;1;Mostly agree;Mostly agree;I. Gender and LGBTQ;4;Likert Scale
153;Do you think most Muslims in our country today want to adopt your country customs and way of life or do you think they want to be distinct from the larger your country society?;'United States': [0.375, 0.5795454545454546, 0.045454545454545456], 'Britain': [0.3146067415730337, 0.5842696629213483, 0.10112359550561797];['Adopt our ways', 'Want to be distinct', 'Both (VOL)'];GAS;0.5795454545454546;0.5842696629213483;1;1;Want to be distinct;Want to be distinct;B. Religion and spirituality;3;Likert Scale
154;Which statement comes closer to your own views, even if neither is exactly right? Hosting the World Cup is a good thing for Brazil, because it will create more jobs and help the economy, or Hosting the World Cup is a bad thing for Brazil, because we are spending money that should be used for schools, health care and other public services.  ;'United States': [0.0, 0.0, 0.0, 0.0, 0.54, 0.0, 0.45, 0.01, 0.0, 0.0], 'Britain': [0.0, 0.0, 0.0, 0.3401015228426396, 0.0, 0.15228426395939088, 0.0, 0.005076142131979695, 0.350253807106599, 0.15228426395939088];['Good', 'Bad', 'Both/neither (VOL)', 'If (survey country) had cooperated more with other countries, the number of coronavirus cases would have been lower in this country', 'Many of the problems facing our country can be solved by working with other countries', 'No amount of cooperation between (survey country) and other countries would have reduced the number of coronavirus cases in this country', 'Few of the problems facing our country can be solved by working with other countries', 'DK/Refused', 'When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them', 'When dealing with major international issues, our country should follow its own interests, even when other countries strongly disagree'];GAS;0.54;0.350253807106599;4;8;Many of the problems facing our country can be solved by working with other countries;When dealing with major international issues, our country should take into account the interests of other countries, even if it means making compromises with them;D. Politics and policy;10;Likert Scale
155;I'd like to ask your opinion about some international issues.  Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...global climate change ;'United States': [0.42424242424242425, 0.32323232323232326, 0.09090909090909091, 0.16161616161616163], 'Britain': [0.38, 0.37, 0.16, 0.09];['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned'];GAS;0.4242424242424242;0.38;0;0;Very concerned;Very concerned;G. International affairs;4;Likert Scale
156;Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the conflict between Israelis and Palestinians.;'United States': [0.4375, 0.5625], 'Britain': [0.43243243243243246, 0.5675675675675675];['Approve', 'Disapprove'];GAS;0.5625;0.5675675675675675;1;1;Disapprove;Disapprove;D. Politics and policy;2;Binary Choice
157;Has each of the following gotten better or worse over the last five years in our country: the availability of food in stores.;'United States': [0.8367346938775511, 0.061224489795918366, 0.10204081632653061], 'Britain': [0.94, 0.02, 0.04];['Better', 'Worse', 'Has not changed'];GAS;0.8367346938775511;0.94;0;0;Better;Better;N. Economy and work;3;Likert Scale
158;I'd like to ask your opinion about some international issues.  Please tell me how concerned you are, if at all, about each of them - are you very concerned, somewhat concerned, not too concerned or not at all concerned?...global economic instability;'United States': [0.51, 0.37, 0.08, 0.04], 'Britain': [0.32989690721649484, 0.4845360824742268, 0.14432989690721648, 0.041237113402061855];['Very concerned', 'Somewhat concerned', 'Not too concerned', 'Not at all concerned'];GAS;0.51;0.4845360824742268;0;1;Very concerned;Somewhat concerned;G. International affairs;4;Likert Scale
